,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month
171,Toronto W09,53,"$23,311,429","$439,838","$460,000",113,56.5%,146,2.8,101%,21,12,5
172,Toronto W10,95,"$30,716,057","$323,327","$365,000",170,56.5%,230,2.9,98%,23,12,5
173,Toronto Central,"1,863","$1,269,188,826","$681,261","$470,000","4,038",55.5%,"4,385",2.3,100%,20,12,5
174,Toronto C01,469,"$220,572,083","$470,303","$398,600","1,135",51.7%,"1,383",2.7,100%,24,12,5
175,Toronto C02,104,"$110,196,753","$1,059,584","$969,549",235,51.8%,278,3.1,101%,19,12,5
176,Toronto C03,75,"$69,506,906","$926,759","$656,000",115,59.6%,115,2.1,100%,18,12,5
177,Toronto C04,124,"$151,233,145","$1,219,622","$1,109,000",239,58.0%,245,2.0,99%,20,12,5
178,Toronto C06,34,"$24,112,890","$709,203","$657,500",73,60.3%,74,2.1,102%,21,12,5
179,Toronto C07,137,"$85,214,833","$622,006","$529,900",317,57.1%,319,2.0,99%,18,12,5
180,Toronto C08,187,"$84,828,143","$453,626","$379,000",384,59.4%,417,2.1,100%,19,12,5
181,Toronto C09,47,"$65,580,500","$1,395,330","$975,000",68,60.0%,71,2.4,101%,13,12,5
182,Toronto C10,93,"$61,214,485","$658,220","$582,000",156,66.3%,129,1.4,101%,15,12,5
183,Toronto C11,50,"$34,501,213","$690,024","$428,400",88,64.3%,92,1.8,102%,18,12,5
184,Toronto C12,43,"$81,623,300","$1,898,216","$1,600,000",130,50.3%,180,3.5,97%,24,12,5
185,Toronto C13,99,"$61,091,075","$617,082","$515,000",189,62.7%,160,1.8,102%,16,12,5
186,Toronto C14,210,"$121,877,233","$580,368","$410,000",506,54.4%,523,2.0,99%,21,12,5
187,Toronto C15,191,"$97,636,267","$511,185","$412,000",403,53.0%,399,2.2,101%,21,12,5
188,Toronto East,"1,180","$532,345,937","$451,141","$432,050","2,041",62.2%,"1,811",1.8,101%,17,12,5
189,Toronto E01,107,"$65,039,140","$607,842","$565,000",173,62.7%,128,1.5,105%,11,12,5
190,Toronto E02,108,"$69,924,450","$647,449","$579,950",182,65.2%,113,1.2,103%,9,12,5
191,Toronto E03,122,"$67,393,034","$552,402","$530,000",237,63.4%,175,1.4,103%,14,12,5
192,Toronto E04,138,"$49,807,207","$360,922","$392,500",224,63.5%,213,1.9,101%,20,12,5
193,Toronto E05,123,"$51,314,718","$417,193","$370,000",215,70.0%,164,1.3,102%,18,12,5
194,Toronto E06,38,"$19,858,474","$522,591","$491,500",97,59.7%,78,1.6,101%,20,12,5
195,Toronto E07,130,"$48,884,876","$376,038","$332,000",216,58.6%,197,2.2,102%,21,12,5
196,Toronto E08,81,"$34,063,730","$420,540","$419,000",128,58.3%,146,2.3,98%,20,12,5
197,Toronto E09,135,"$46,447,958","$344,059","$354,000",245,58.5%,280,2.3,99%,21,12,5
198,Toronto E10,91,"$41,252,700","$453,326","$436,000",131,64.0%,112,1.9,100%,19,12,5
199,Toronto E11,107,"$38,359,650","$358,501","$349,000",193,60.9%,205,2.2,99%,18,12,5
200,TREB Total,"9,422","$4,792,235,831","$508,622","$430,000","16,679",58.7%,"20,583",2.2,99%,22,12,6
201,City of Toronto Total,"3,520","$1,950,350,664","$554,077","$434,405","6,742",56.4%,"8,537",2.3,99%,21,12,6
202,Toronto West,958,"$457,716,682","$477,784","$418,750","1,559",57.7%,"2,089",2.5,100%,24,12,6
203,Toronto W01,59,"$38,197,739","$647,419","$609,000",123,55.8%,157,2.2,102%,17,12,6
204,Toronto W02,93,"$57,943,600","$623,049","$600,000",130,67.2%,104,1.3,103%,16,12,6
205,Toronto W03,99,"$39,178,929","$395,747","$383,000",121,65.5%,101,1.8,100%,16,12,6
206,Toronto W04,94,"$37,432,488","$398,218","$372,500",151,58.7%,210,2.6,98%,23,12,6
207,Toronto W05,126,"$44,214,999","$350,913","$379,025",201,56.9%,301,3.0,98%,31,12,6
208,Toronto W06,136,"$61,997,210","$455,862","$449,950",269,46.5%,436,3.4,99%,29,12,6
209,Toronto W07,35,"$24,271,250","$693,464","$635,000",46,69.5%,35,1.4,102%,15,12,6
210,Toronto W08,187,"$108,612,152","$580,814","$475,000",260,60.8%,372,2.3,98%,22,12,6
211,Toronto W09,46,"$21,146,038","$459,696","$467,500",86,55.7%,135,2.8,97%,27,12,6
212,Toronto W10,83,"$24,722,277","$297,859","$273,000",172,55.8%,238,2.9,98%,30,12,6
