,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month,day,date
154,Toronto E06,61.0,30796230.0,504856.0,441000.0,79.0,62.3,49.0,1.5,102.0,14.0,2012,4,15,2012-04-15
155,Toronto E07,113.0,42013127.0,371798.0,318000.0,149.0,60.0,164.0,2.2,101.0,23.0,2012,4,15,2012-04-15
156,Toronto E08,70.0,26948311.0,384976.0,391400.0,123.0,57.3,145.0,2.4,99.0,26.0,2012,4,15,2012-04-15
157,Toronto E09,145.0,48135657.0,331970.0,338800.0,219.0,58.9,253.0,2.2,100.0,24.0,2012,4,15,2012-04-15
158,Toronto E10,79.0,37127450.0,469968.0,455000.0,103.0,62.0,93.0,1.9,100.0,17.0,2012,4,15,2012-04-15
159,Toronto E11,122.0,42102455.0,345102.0,343250.0,167.0,60.1,186.0,2.3,100.0,20.0,2012,4,15,2012-04-15
160,TRREB Total,10850.0,5607133659.0,516787.0,432050.0,19177.0,60.0,20462.0,2.2,99.0,21.0,2012,5,15,2012-05-15
161,City of Toronto Total,4130.0,2349011252.0,568768.0,446000.0,7956.0,58.0,8376.0,2.2,100.0,20.0,2012,5,15,2012-05-15
162,Toronto West,1087.0,547476489.0,503658.0,438000.0,1877.0,58.2,2180.0,2.5,101.0,21.0,2012,5,15,2012-05-15
163,Toronto W01,86.0,54069686.0,628717.0,580000.0,171.0,58.3,156.0,2.1,104.0,14.0,2012,5,15,2012-05-15
164,Toronto W02,137.0,87111204.0,635848.0,631000.0,182.0,67.9,120.0,1.2,103.0,13.0,2012,5,15,2012-05-15
165,Toronto W03,81.0,32221690.0,397799.0,385000.0,116.0,64.0,111.0,1.9,102.0,21.0,2012,5,15,2012-05-15
166,Toronto W04,108.0,44461899.0,411684.0,397500.0,182.0,60.1,205.0,2.6,99.0,21.0,2012,5,15,2012-05-15
167,Toronto W05,135.0,45819700.0,339405.0,370000.0,236.0,56.3,314.0,3.1,99.0,26.0,2012,5,15,2012-05-15
168,Toronto W06,138.0,63420920.0,459572.0,439500.0,317.0,47.7,440.0,3.3,99.0,26.0,2012,5,15,2012-05-15
169,Toronto W07,49.0,33655300.0,686843.0,640000.0,58.0,68.6,43.0,1.4,103.0,13.0,2012,5,15,2012-05-15
170,Toronto W08,205.0,132688604.0,647261.0,540000.0,332.0,60.6,415.0,2.3,99.0,23.0,2012,5,15,2012-05-15
171,Toronto W09,53.0,23311429.0,439838.0,460000.0,113.0,56.5,146.0,2.8,101.0,21.0,2012,5,15,2012-05-15
172,Toronto W10,95.0,30716057.0,323327.0,365000.0,170.0,56.5,230.0,2.9,98.0,23.0,2012,5,15,2012-05-15
173,Toronto Central,1863.0,1269188826.0,681261.0,470000.0,4038.0,55.5,4385.0,2.3,100.0,20.0,2012,5,15,2012-05-15
174,Toronto C01,469.0,220572083.0,470303.0,398600.0,1135.0,51.7,1383.0,2.7,100.0,24.0,2012,5,15,2012-05-15
175,Toronto C02,104.0,110196753.0,1059584.0,969549.0,235.0,51.8,278.0,3.1,101.0,19.0,2012,5,15,2012-05-15
176,Toronto C03,75.0,69506906.0,926759.0,656000.0,115.0,59.6,115.0,2.1,100.0,18.0,2012,5,15,2012-05-15
177,Toronto C04,124.0,151233145.0,1219622.0,1109000.0,239.0,58.0,245.0,2.0,99.0,20.0,2012,5,15,2012-05-15
178,Toronto C06,34.0,24112890.0,709203.0,657500.0,73.0,60.3,74.0,2.1,102.0,21.0,2012,5,15,2012-05-15
179,Toronto C07,137.0,85214833.0,622006.0,529900.0,317.0,57.1,319.0,2.0,99.0,18.0,2012,5,15,2012-05-15
180,Toronto C08,187.0,84828143.0,453626.0,379000.0,384.0,59.4,417.0,2.1,100.0,19.0,2012,5,15,2012-05-15
181,Toronto C09,47.0,65580500.0,1395330.0,975000.0,68.0,60.0,71.0,2.4,101.0,13.0,2012,5,15,2012-05-15
182,Toronto C10,93.0,61214485.0,658220.0,582000.0,156.0,66.3,129.0,1.4,101.0,15.0,2012,5,15,2012-05-15
183,Toronto C11,50.0,34501213.0,690024.0,428400.0,88.0,64.3,92.0,1.8,102.0,18.0,2012,5,15,2012-05-15
184,Toronto C12,43.0,81623300.0,1898216.0,1600000.0,130.0,50.3,180.0,3.5,97.0,24.0,2012,5,15,2012-05-15
185,Toronto C13,99.0,61091075.0,617082.0,515000.0,189.0,62.7,160.0,1.8,102.0,16.0,2012,5,15,2012-05-15
186,Toronto C14,210.0,121877233.0,580368.0,410000.0,506.0,54.4,523.0,2.0,99.0,21.0,2012,5,15,2012-05-15
187,Toronto C15,191.0,97636267.0,511185.0,412000.0,403.0,53.0,399.0,2.2,101.0,21.0,2012,5,15,2012-05-15
188,Toronto East,1180.0,532345937.0,451141.0,432050.0,2041.0,62.2,1811.0,1.8,101.0,17.0,2012,5,15,2012-05-15
189,Toronto E01,107.0,65039140.0,607842.0,565000.0,173.0,62.7,128.0,1.5,105.0,11.0,2012,5,15,2012-05-15
